model_name,split_name,patch_idx,trust_score_pct,mean_risk,pct_high_risk,norm_disagreement,norm_stability,norm_spectral,norm_structural,raw_disag_mean,raw_stab_mean,raw_spectral_mean,raw_struct_mean,psnr_db,ssim,psnr_gain,gradient_corr,edge_iou,edge_f1
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",25,86.16,0.1384,0.0,0.11784367263317108,0.1809931844472885,0.16296814382076263,0.09190229326486588,0.0015100339660421014,0.0005123489536345005,0.02076,0.029531288892030716,38.85,0.9303,0.1600000000000037,0.8126,0.369,0.5391
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",26,86.44,0.1356,0.0,0.12374617904424667,0.18513187766075134,0.1345134973526001,0.09914328902959824,0.001563072670251131,0.0005163278547115624,0.02056,0.029351094737648964,38.88,0.9312,0.15000000000000568,0.8099,0.3784,0.549
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",27,85.07,0.1493,0.0,0.12838932871818542,0.20383478701114655,0.16030268371105194,0.10480909049510956,0.001617375761270523,0.000506273761857301,0.02129,0.031200377270579338,38.51,0.9275,0.12999999999999545,0.8055,0.3916,0.5628
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",28,84.71,0.1529,0.0,0.11298482865095139,0.21945685148239136,0.1542629897594452,0.12505678832530975,0.001525539206340909,0.0005066871526651084,0.02098,0.03246317431330681,38.41,0.9281,0.1699999999999946,0.8363,0.4138,0.5854
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",29,85.14,0.1486,0.0,0.12886130809783936,0.20370495319366455,0.15427324175834656,0.10752016305923462,0.001496376353316009,0.0005048491293564439,0.02121,0.03167065232992172,38.46,0.9263,0.14999999999999858,0.8308,0.426,0.5975
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",30,85.22,0.1478,0.0,0.09899815171957016,0.2110460102558136,0.1620575487613678,0.11915406584739685,0.0014440447557717562,0.0005066705634817481,0.02072,0.030804414302110672,38.68,0.9268,0.1700000000000017,0.8127,0.3833,0.5542
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",31,85.46,0.1454,0.0,0.12051108479499817,0.2160227745771408,0.13759607076644897,0.10753350704908371,0.0014928573509678245,0.0005037658265791833,0.02007,0.029559839516878128,38.95,0.9299,0.1700000000000017,0.8327,0.3631,0.5328
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",32,84.98,0.1502,0.0,0.13046890497207642,0.2390136420726776,0.12940534949302673,0.102000892162323,0.0015144958160817623,0.0005022010300308466,0.02006,0.030142491683363914,38.87,0.9303,0.14999999999999858,0.8121,0.3788,0.5495
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",33,85.96,0.1404,0.0,0.11970558762550354,0.1985713541507721,0.13872861862182617,0.10460221767425537,0.0015866381581872702,0.000508133671246469,0.02028,0.03023712895810604,38.81,0.9314,0.15000000000000568,0.8313,0.3934,0.5647
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",34,85.21,0.1479,0.0,0.14191502332687378,0.20727749168872833,0.1538987159729004,0.088314950466156,0.001645882846787572,0.0005087706376798451,0.02105,0.03236060217022896,38.53,0.9304,0.13000000000000256,0.8256,0.4123,0.5839
